RB_ID,KO_Name,GESCHLECHT,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
40915,Gerster,,,,,,,CDU/CSU,Mainz
40917,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40919,Spöri,,,,Dr.,,,SPD,
40921,Spöri,,,,Dr.,,,SPD,
40923,Apel,,,,Dr.,,,SPD,
40924,Spöri,,,,Dr.,,,SPD,
40932,Uldall,,,,,,,CDU/CSU,
40936,Gerster,,,,,,,CDU/CSU,Mainz
40937,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40938,Poß,,,,,,,SPD,
40940,Ströbele,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40946,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40950,Vogel,,,,,,,BÜNDNIS 90/DIE GRÜNEN,München
40951,Ströbele,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40955,Niegel,,,,,,,CDU/CSU,
40958,Ströbele,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40960,Bueb,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40962,Ströbele,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40964,Ströbele	[BÜNDNIS 90/DIE GRÜNEN],,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40966,Rusche,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40970,Waffenschmidt,,,,Dr.,,,CDU/CSU,
40976,Rusche,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40981,Schlottmann,,,,,,,CDU/CSU,
40982,Seiters,,,,,,,CDU/CSU,
40985,Kirschner,,,,,,,SPD,
4099,Duve,,,,,,,SPD,
40990,Dann,weiblich,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40992,Göhner,,,,Dr.,,,CDU/CSU,
41001,Jagoda,,,,,,,CDU/CSU,
41003,Berger,weiblich,,,,,,CDU/CSU,Berg
41005,Jagoda,,,,,,,CDU/CSU,
41006,Schlottmann,,,,,,,CDU/CSU,
41008,Schlottmann,,,,,,,CDU/CSU,
4101,Duve,,,,,,,SPD,
41010,Kirschner,,,,,,,SPD,
41015,Jagoda,,,,,,,CDU/CSU,
41017,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41019,Reddemann,,,,,,,CDU/CSU,
41026,Ströbele,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41028,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41029,Göhner,,,,Dr.,,,CDU/CSU,
4103,Schäfer,,,,,,,SPD,Offenburg
41031,Ströbele,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41033,Senfft,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41035,Ströbele,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41037,Gansel,,,,,,,SPD,
41044,Senfft,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41047,Senfft,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41048,Schulte,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Menden
4105,Fischer,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Frankfurt
41050,Milz,,,,,,,CDU/CSU,
41054,Jobst,,,,Dr.,,,CDU/CSU,
41056,Schulte,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Menden
41060,Schulte,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Menden
41062,Suhr,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41064,Schmude,,,,,von,,CDU/CSU,
41067,Hoffie,,,,,,,FDP,Hof
41070,Schmude,,,,,von,,CDU/CSU,
41074,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41076,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41080,Senfft,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41085,Senfft,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41096,Senfft,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
4110,Schäfer,,,,,,,SPD,Offenburg
41100,Bamberg,,,,,,,SPD,Bamberg
41101,Lemmrich,,,,,,,CDU/CSU,
41107,Senfft,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41109,Rusche,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41111,Senfft,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41113,Senfft,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41119,Senfft,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
4112,Fischer,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Frankfurt
41123,Ströbele,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41125,Senfft,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41127,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41129,Vogel,,,,,,,BÜNDNIS 90/DIE GRÜNEN,München
41133,Stutzer,,,,,,,CDU/CSU,
41137,Fuchs,weiblich,,,,,,SPD,Köln
41138,Kolb,,,,,,,CDU/CSU,
4114,Kittelmann,,,,,,,CDU/CSU,
41140,Glombig,,,,,,,SPD,
41142,Oh-Rufe  CDU/CSU,,,,,von der,,CDU/CSU,
41142,Hürland,weiblich,,,,,,CDU/CSU,
41147,Lutz,,,,,,,SPD,
41149,Kolb,,,,,,,CDU/CSU,
4115,Kittelmann,,,,,,,CDU/CSU,
41151,Kolb,,,,,,,CDU/CSU,
41153,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41155,Kolb,,,,,,,CDU/CSU,
41157,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41159,Kolb,,,,,,,CDU/CSU,
4116,Hauser,,,,,,,CDU/CSU,Esslingen
41161,Kolb,,,,,,,CDU/CSU,
41162,Penner,,,,Dr.,,,SPD,
41163,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41164,Feilcke,,,,,,,CDU/CSU,
41165,Blüm,,,,Dr.,,,CDU/CSU,
41167,Seiters,,,,,,,CDU/CSU,
41170,Seiters,,,,,,,CDU/CSU,
41171,Seiters,,,,,,,CDU/CSU,
41171,Fischer,weiblich,,,,,,CDU/CSU,
41172,Blüm,,,,Dr.,,,CDU/CSU,
41175,Blüm,,,,Dr.,,,CDU/CSU,
41176,Lutz,,,,,,,SPD,
