RB_ID,KO_Name,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
113544,Duve,,,,,,SPD,
113546,Koschyk,,,,,,CDU/CSU,
113550,Hämmerle,,,,,,SPD,
113552,Duve,,,,,,SPD,
113554,Duve,,,,,,SPD,
113556,Koschnick,,,,,,SPD,
113557,Duve,,,,,,SPD,
113560,Duve,,,,,,SPD,
113563,Bohl,,,,,,CDU/CSU,
113584,Struck,,,Dr.,,,SPD,
113586,Struck,,,Dr.,,,SPD,
113588,Sprung,,,Dr.,,,SPD,
113591,Struck,,,Dr.,,,SPD,
113592,Gansel,,,,,,SPD,
113597,Gerster,,,,,,CDU/CSU,Mainz
113599,Gansel,,,,,,SPD,
113603,Gansel,,,,,,SPD,
113612,Gerster,,,,,,CDU/CSU,Mainz
113618,Schmidt,,,,,,SPD,Nürnberg
113631,Hartenstein,,,Dr.,,,SPD,
113633,Hartenstein,,,Dr.,,,SPD,
113645,Götte,,,Dr.,,,SPD,
113672,Erler,,,,,,SPD,
113676,Opel,,,,,,SPD,
113695,Sperling,,,Dr.,,,SPD,
113696,Skarpelis-Sperk,,,Dr.,,,SPD,
113702,Opel,,,,,,SPD,
113706,Erler,,,,,,SPD,
113710,Steiner,,,,,,SPD,
113727,Wolf,,,,,,SPD,
113740,Struck,,,Dr.,,,SPD,
113742,Feige,,,Dr.,,,BÜNDNIS 90/DIE GRÜNEN,
113744,Kuhlwein,,,,,,SPD,
113754,Lammert,,,Dr.,,,CDU/CSU,
113760,Küster,,,Dr.,,,SPD,
113770,Kuhlwein,,,,,,SPD,
113776,Lammert,,,Dr.,,,CDU/CSU,
113778,Elmer,,,Dr.,,,SPD,
113782,Elmer,,,Dr.,,,SPD,
113784,Rixe,,,,,,SPD,
113791,Odendahl,,,,,,SPD,
113805,Weng,,,Dr.,,,FDP,Gerlingen
113805,Catenhusen,,,,,,SPD,
113805,Seesing,,,,,,CDU/CSU,
113805,Beifall des  Vergin,,,,,,SPD,
113807,Kohn,,,,,,FDP,
113809,Catenhusen,,,,,,SPD,
113811,Adler,,,,,,SPD,
113835,Weng,,,Dr.,,,FDP,Gerlingen
113841,Mehl,,,,,,SPD,
113845,Müller,,,,,,SPD,Düsseldorf
113847,Blunck,,,,,,SPD,
113849,Müller,,,,,,SPD,Düsseldorf
113853,Blunck,,,,,,SPD,
113857,Werner,,,,,,CDU/CSU,Ulm
113859,Müller,,,,,,SPD,Düsseldorf
113865,Kraus,,,,,,CDU/CSU,
113866,Lamers,,,,,,CDU/CSU,
113868,Scharrenbroich,,,,,,CDU/CSU,
113870,Weisskirchen,,,,,,SPD,Wiesloch
113942,Müntefering,,,,,,SPD,
113958,Erler,,,,,,SPD,
113963,Seifert,,,Dr.,,,DIE LINKE.,
113968,Toetemeyer,,,,,,SPD,
113987,Müntefering,,,,,,SPD,
114000,Skarpelis-Sperk,,,Dr.,,,SPD,
114057,Struck,,,Dr.,,,SPD,
114063,Schily,,,,,,SPD,
114065,Hammerstein,,,,von,Freiherr,CDU/CSU,Hamm
114069,Hammerstein,,,,von,Freiherr,CDU/CSU,Hamm
114071,Ullmann,,,Dr.,,,BÜNDNIS 90/DIE GRÜNEN,
114077,Grünbeck,,,,,,FDP,
114079,Scharrenbroich,,,,,,CDU/CSU,
114081,Briefs,,,Dr.,,,DIE LINKE.,
114082,Voigt,,,Dr.,,,CDU/CSU,Northeim
114083,Briefs,,,Dr.,,,DIE LINKE.,
114085,Grünbeck,,,,,,FDP,
114086,Sperling,,,Dr.,,,SPD,
114087,Briefs,,,Dr.,,,DIE LINKE.,
