RB_ID,KO_Name
2168,Hans Klein [München] [CDU/CSU]
2168,Manfred Richter [Bremerhaven] [F.D.P.]
2168,Dr. Otto Graf Lambsdorff [F.D.P.]
2168,Siegfried Hornung [CDU/CSU]
2168,Dr. Uwe Küster [SPD]
2168,Larcher [SPD]
2168,Jochen Vogel [SPD]
2168,Wolfgang Roth [SPD]
2168,Helmut Wieczorek [Duisburg] [SPD]
2168,Rüttgers [CDU/CSU]
2168,Dr. Walter Franz Altherr [CDU/CSU]
2168,Otto Schily [SPD]
2168,Schäuble [CDU/CSU]
2168,Dr. Alfred Dregger [CDU/CSU]
2168,Detlev von Larcher [SPD]
2168,Dr. Wolfgang Weng [Gerlingen] [F.D.P.]
2168,Dr. Wolfgang Weng [Gerlingen] [F.D.P.]
2168,Dr. Peter Struck [SPD]
2168,Eckart Kuhlwein [SPD]
2168,Dr. Uwe Küster [SPD]
2168,Peter Conradi [SPD]
2168,Klein [München] [CDU/CSU]
2168,Ingrid Matthäus-Maier [SPD]
2168,Hans Klein [München] [CDU/CSU]
2168,Dr. UweJens Heuer [PDS/Linke Liste]
2168,Klejdzinski [SPD]
2168,Horst Sielaff [SPD]
2168,Horst Peter [Kassel] [SPD]
2168,Dr. Dionys Jobst [CDU/CSU]
2168,Gerd Andres [SPD]
2168,Johannes Singer [SPD]
2168,nover] [F.D.P.]
2168,Helmut Wieczorek [Duisburg] [SPD]
2168,Schäuble [CDU/CSU]
2168,Solms [F.D.P.]
2168,Dieter Wiefelspütz [SPD]
2168,Peter Conradi [SPD]
2168,Dr. UweJens Heuer [PDS/Linke Liste]
2168,Günter Verheugen [SPD]
2168,Peter W. Reuschenbach [SPD]
2168,Dr. Jürgen Rüttgers [CDU/CSU]
2168,Gerd Andres [SPD]
2168,Heidemarie Wieczorek-Zeul [SPD]
2168,Solms [F.D.P.]
2168,Gerd Andres [SPD]
2168,Ulrich Irmer [F.D.P.]
2168,Hoffacker [CDU/CSU]
2168,Rudolf Bindig [SPD]
2168,Ulrich Irmer [F.D.P.]
2168,Brigitte Baumeister [CDU/CSU]
2168,Ingrid MatthäusMaier [SPD]
2168,Ingrid Matthäus-Maier [SPD]
2168, Dr. Uwe Küster [SPD]
2168,Hermann Bachmaier [SPD]
2168,Dr. Jürgen Rüttgers [CDU/CSU]
2168,Ernst Waltemathe [SPD]
2168,Hans-Joachim Fuchtel [CDU/CSU]
2168,Dr. Nils Diederich [Berlin] [SPD]
2168,Gerhart Rudolf Baum [F.D.P.]
2168,Detlev von Larcher [SPD]
2168,Eckart Kühlwein [SPD]
2168,Dr. Wolfgang Weng [Gerlingen] [F.D.P.]
2168,Uta Würfel [F.D.P.]
2168,Hinrich Kuessner [SPD]
2168,Helmut Wieczorek [Duisburg] [SPD]
2168,Kansy [CDU/CSU]
