WP;NACHNAME;VORNAME;BERUF;ANREDE_TITEL;PRAEFIX;ADEL;PARTEI_KURZ;ORTSZUSATZ;GESCHLECHT;ID
1;Glüsing;Hermann;Bauer;;;;CDU/CSU;;männlich;11000693
1;Glüsing;Hermann;Bauer;;;;CDU/CSU;Dithmarschen;männlich;11000693
1;Gockeln;Josef;Landespräsident;;;;CDU/CSU;;männlich;11000696
1;Goetzendorff;Günter;Journalist, Redakteur;;;;WAV;;männlich;11000706
1;Goetzendorff;Günter;Journalist, Redakteur;;;;WAV;;männlich;11000706
1;Goetzendorff;Günter;Journalist, Redakteur;;;;WAV;;männlich;11000706
1;Goetzendorff;Günter;Journalist, Redakteur;;;;WAV;;männlich;11000706
1;Golitschek;Hubertus;Wirtschaftsberater;Dr.;von;;FDP;;männlich;11000710
1;Görlinger;Robert;Verlagsleiter;;;;SPD;;männlich;11000700
1;Götz;Hermann;Angestellter;Dr.;;;CDU/CSU;;männlich;11000704
1;Graf;Otto;Lehrer, Journalist, Ministerialrat;;;;SPD;;männlich;11000720
1;Greve;Otto Heinrich;Rechtsanwalt und Notar;Dr.;;;SPD;;männlich;11000724
1;Gröwel;Margarete;Lehrerin, Dozentin;Dr.;;;CDU/CSU;;weiblich;11000733
1;Grundmann;Arthur;Bergmann;;;;FDP;;männlich;11000742
1;Gülich;Wilhelm;Professor, Bibliotheksdirektor;Dr.;;;SPD;;männlich;11000747
1;Gundelach;Gustav;Dreher, Parteisekretär;;;;KPD;;männlich;11000752
1;Günther;Bernhard;Elektromeister, Präsident der Handwerkskammer Köln;;;;CDU/CSU;;männlich;11000748
1;Hagge;Johannes;Kaufmann;;;;FDP;;männlich;11000783
1;Hagge;Johannes;Kaufmann;;;;FDP;;männlich;11000783
1;Hamacher;Wilhelm;Oberstudiendirektor;Dr.;;;DZP;;männlich;11000790
1;Hammer;Richard;Arzt;Dr.;;;FDP;;männlich;11000795
1;Handschumacher;Johannes;Richter, Rechtsanwalt;Dr.;;;CDU/CSU;;männlich;11000801
1;Happe;Heinrich;Landwirt, Verwaltungsangestellter;;;;SPD;;männlich;11000810
1;Harig;Paul;Metallarbeiter;;;;KPD;;männlich;11000811
1;Hasemann;Walther;Fabrikant;Dr.;;;FDP;;männlich;11000821
1;Hedler;Wolfgang;Bankkaufmann;;;;WAV;;männlich;11000839
1;Hedler;Wolfgang;Bankkaufmann;;;;WAV;;männlich;11000839
1;Hedler;Wolfgang;Bankkaufmann;;;;WAV;;männlich;11000839
1;Hedler;Wolfgang;Bankkaufmann;;;;WAV;;männlich;11000839
1;Hedler;Wolfgang;Bankkaufmann;;;;WAV;;männlich;11000839
1;Heiland;Rudolf-Ernst;Kaufmann;;;;SPD;;männlich;11000843
1;Heiler;Anne Marie;Lehrerin;;;;CDU/CSU;;weiblich;11000844
1;Heinen;Franz;Kaufmann;;;;SPD;;männlich;11000849
1;Heix;Martin;Arbeitersekretär;;;;CDU/CSU;;männlich;11000855
1;Heix;Martin;Arbeitersekretär;;;;CDU/CSU;;männlich;11000855
1;Heix;Martin;Arbeitersekretär;;;;CDU/CSU;;männlich;11000855
1;Hellwege;Heinrich;Bundesminister für Angelegenheiten des Bundesrates, Kaufmann;;;;DP;;männlich;11000859
1;Henle;Günther;Jurist, Diplomat, Industrieller;Dr.;;;CDU/CSU;;männlich;11000867
1;Henn;Hans;Volkswirt;Dr.;;;FDP;;männlich;11000869
1;Hennig;Arno;Lehrer;;;;SPD;;männlich;11000870
1;Henssler;Fritz;Schriftsetzer, Redakteur, Oberbürgermeister;;;;SPD;;männlich;11000873
1;Herbig;Gustav;Lehrer, Diplomat, Philologe, Prof. i. R.;;;;SPD;;männlich;11000879
1;Herrmann;Matthäus;Bahnamtmann i. R.;;;;SPD;;männlich;11000886
1;Heuss;Theodor;Ökonom, Publizist, Bundespräsident;Dr.;;;FDP;;männlich;11000893
1;Hilbert;Anton;Landwirt, Geschäftsführer;;;;CDU/CSU;;männlich;11000900
1;Hilpert;Werner;Minister;Dr.;;;CDU/CSU;;männlich;11000903
1;Höcker;Heinrich;Oberbürgermeister;;;;SPD;;männlich;11000915
1;Hoffmann;Curt;Handelskammersyndikus;Dr.;;;FDP;Lübeck;männlich;11000936
1;Hoffmann;Karl;Fabrikant;Dr.;;;FDP;Schönau;männlich;11000940
1;Hoffmann;Johannes;Dipl.-Landwirt, Landwirtschaftslehrer;;;;FU;Lindlar;männlich;11000939
1;Hoffmann;Johannes;Dipl.-Landwirt, Landwirtschaftslehrer;;;;FU;Lindlar;männlich;11000939
1;Höfler;Heinrich;Caritasdirektor;;;;CDU/CSU;;männlich;11000917
1;Hohl;Heinrich;Landwirt, Bürgermeister;;;;CDU/CSU;;männlich;11000943
1;Höhne;Franz;Geschäftsführer;;;;SPD;;männlich;11000920
1;Holzapfel;Friedrich;Handwerkskammersyndikus;Dr.;;;CDU/CSU;;männlich;11000950
1;Hoogen;Matthias;Rechtsanwalt;;;;CDU/CSU;;männlich;11000953
1;Höpker-Aschoff;Hermann;Präsident des Bundesverfassungsgericht a.D.;Dr.;;;FDP;;männlich;11000927
1;Hoppe;Anton;Schlosser, Landrat;;;;CDU/CSU;;männlich;11000954
1;Horlacher;Michael;Prässdent de Bayerischen Raiffeisenverbandes;Dr.;;;CDU/CSU;;männlich;11000957
1;Horn;Peter;Geschäftsführer i. R.;;;;CDU/CSU;;männlich;11000959
1;Hubert;Elinor;Ärztin;Dr.;;;SPD;;weiblich;11000969
1;Hübner;Karl;Postrat;;;;FDP;;männlich;11000973
1;Huth;Eugen;Buchdruckermeister, Verleger;;;;CDU/CSU;;männlich;11000985
1;Hütter;Margarete;Referentin;;;;FDP;;weiblich;11000979
1;Ilk;Herta;Hausfrau;Dr.;;;FDP;;weiblich;11000990
1;Imig;Heinrich;Bergmann, Gewerkschaftsfunktionär, Verwaltungsbeamter;;;;SPD;;männlich;11000993
1;Jacobi;Werner;Hauptgeschäftsführer d. Verbandes kommunaler Untern. e.V., Landesgerichtsrat;;;;SPD;;männlich;11001000
1;Jacobi;Werner;Hauptgeschäftsführer d. Verbandes kommunaler Untern. e.V., Landesgerichtsrat;;;;SPD;Köln;männlich;11001000
1;Jacobi;Werner;Hauptgeschäftsführer d. Verbandes kommunaler Untern. e.V., Landesgerichtsrat;;;;SPD;Köln/Iserlohn;männlich;11001000
1;Jacobs;Peter;Redakteur;;;;SPD;;männlich;11001001
1;Jaeger;Richard;Bundesminister , Vizepräsident DBT;Dr.;;;CDU/CSU;;männlich;11001006
1;Jaeger;Richard;Bundesminister , Vizepräsident DBT;Dr.;;;CDU/CSU;Bayern;männlich;11001006
1;Jaeger;Elfriede;Angestellte;;;;DRP;Hannover;weiblich;11001004
1;Jaeger;Paul Hans;Kaufmann, Angestellter;;;;FDP;Essen;männlich;11001005
1;Jaffe;Robert;Dipl.-Ingenieur, Landwirt;;;;DP;;männlich;11001007
1;Jahn;Hans;Gewerkschaftsvorsitzender;;;;SPD;;männlich;11001013
1;Jahn;Hans;Gewerkschaftsvorsitzender;;;;SPD;Frankfurt;männlich;11001013
1;Juncker;Albert Ludwig;Kaufmann;;;;FDP;;männlich;11001037
1;Junglas;Johann;Gärtner, Staatsminister;;;;CDU/CSU;;männlich;11001045
1;Kahn;Karl;Geschäftsführer;;;;CDU/CSU;;männlich;11001051
